sk_empresas,cnpj_empresa,flag_matriz,nm_razao_social,cd_natureza_juridica,de_natureza_juridica,de_situacao,de_classif_natureza_juridica,de_saude_tributaria,de_nivel_atividade,registro_antt,flag_optante_simples,flag_optante_simei
"F^E;$.!)H#V$>Z03#L+`],",7065224000120,SIM,EDIFICIO ATLANTIS,3085,CONDOMINIO EDILICIO,ATIVA,PRIVADO,AMARELO,ALTA,SIM,NAO,NAO
"B]H04@5?""Y7SYH89""OS(-&",16672573000100,SIM,O F PIRES MANUTENCAO E REPARACAO DE MAQUINAS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,ALTA,SIM,SIM,NAO
"K;1`4XD<>X4[0B'84Y/^^!",1079611000130,SIM,UNIDADE DE REABILITACAO LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,ALTA,SIM,SIM,NAO
"NZRC_@.<<P@I:]GJ""TYZ`$",33056854000300,NAO,TRANSPORTES SAO GERALDO SA,2054,SOCIEDADE ANONIMA FECHADA,ATIVA,PRIVADO,VERMELHO,ALTA,SIM,NAO,NAO
"G/!4(.'H=$V?_4*""K7LX],",2428806000100,SIM,CONSELHO ESCOLAR DA ESCOLA MUNICIPAL NADIR COLACO,3999,ASSOCIACAO PRIVADA,ATIVA,PRIVADO,AMARELO,ALTA,SIM,NAO,NAO
LBA<`)AEI_PM:<R>N.%F4!,6243132000120,SIM,EYE CARE CLINICA E CIRURGIA DE OLHOS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
N1\>&Q\M6$=PV\L7W$XPM-,14796431000110,SIM,RAMON FERREIRA DA LUZ,4120,PRODUTOR RURAL PESSOA FISICA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"N&SB'L$!+$8>(J$N;?0R=/",7385468000190,SIM,SILVANA BRAZ VIANA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,LARANJA,MEDIA,SIM,SIM,NAO
"GQ;VA+B7N8UY9`8E)D,WF,",7104055000190,SIM,JATOBA REPRODUCAO E CRIACAO DE SUINOS E AGROPECUARIA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
B<U`1W!W<6QQ:Q00TCM64*,80483647000150,SIM,CLAUDIO GREGORIO ESPINDOLA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,LARANJA,MEDIA,SIM,NAO,NAO
C)UD\8Q!O4XB[J)--=-CQ),26222802000130,SIM,MONTERREY ADMINISTRADORA E CORRETORA DE SEGUROS LTDA ME,2240,SOCIEDADE SIMPLES LIMITADA,ATIVA,PRIVADO,LARANJA,MEDIA,SIM,NAO,NAO
"I=H""#B!O6,?_$Z6)0CEZC(",12278275000170,SIM,GSN GLOBAL SPORTS NETWORK COMUNICACAO MARKETING E GESTAO ESPORTIVA SA,2054,SOCIEDADE ANONIMA FECHADA,ATIVA,PRIVADO,AZUL,MEDIA,SIM,NAO,NAO
"P,.!F`[X"";ZP,1VUJ+GPG*",72934748005050,NAO,MAGIC GAMES EMPREENDIMENTOS COMERCIAIS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
"C4-7]F7-47RI`:$Y$/.NV""",14369978000130,SIM,VALDIVINO BARBOSA DE AMORIM MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"EE!X2DCJ/8>8SQ#ZQ\BOV'",1986433000120,SIM,LU E FRAN MODAS COMERCIO DE ROUPAS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"B\`AT;!'5]Q>A%6,:H^52+",2470864000100,SIM,LUIZ ROBERTO OLIVEIRA PARISE JAU ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,LARANJA,BAIXA,SIM,NAO,NAO
H1-/+ZQG/F5F3T[O6A<5H!,12934255000100,SIM,T MACH REPRESENTACOES LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,MEDIA,SIM,NAO,NAO
"BS""N@CD3T?M<H\8X'D?^\0",11964290000100,SIM,MILTON FILIPPETTI FILHO MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"G]<[0!`;7LL?A!UFE;,M;-",68511856001560,NAO,JAMES MOTO SHOP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
"K'_C]Q^S`C7U4S5*\WWWU,",11583130000110,SIM,APARECIDA ALINE DE SOUZA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"PR@DMGUU#1.-'P1<'B5+_/",15792204000180,SIM,SANDRA SANTOS DA PENHA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"O901CQ8+G<=F/J,[<-IO7.",15795787000100,SIM,ADAO RICARDO DA SILVA MEI,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
BQ9!C#ORLR)<IFM@>\`-7.,15616244000170,SIM,S DE O CARNEIRO ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
IC0:XH6AMK[?72=T$SH`+(,1527654000130,SIM,DANIEL DO PRADO FIGUEIREDO,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
AO$*WJ]7ZF:2^\+KC%O/X#,91531913000190,SIM,ALEJANDRO LEONEL BASILIADIS PEREZ,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"N.E!J""6JZTFMMIGST,:WY'",90008079000190,SIM,BANES COMERCIO E REPRESENTACOES LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
K;_S*>HJ9&P]V>&YCF$-P(,81194995000170,SIM,E M G FERREIRA CONFECCOES ME,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
M4%=ZWPQEZ)VO$AVALO(M*,28325397000100,SIM,SISTEMAS E CONTROLES DE SOLDA SA,2054,SOCIEDADE ANONIMA FECHADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"KX?,;L@=;S\+_U""D8`OP9+",48313290000150,SIM,LUCINDO STEFANIN ME,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
I)&#R.BB?5/-O3G@^IQ4T%,10157626000160,SIM,JOSE ADAO,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"M^Z""1?]->7<P<R+""9V]J6/",44803310000110,SIM,ISMAEL FERIGATTO,4014,EMPRESA INDIVIDUAL IMOBILIARIA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"H@,20G15?Y%*""51>4F39M/",1697457000160,SIM,SEBASTIAO CARLOS SILVA O MINEIRO,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"M""@""I-$1'5C&$9GN]'P)T0",13094307000140,SIM,GILDEON MORAIS ARAUJO MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"J@F$&]WY4:S@M54@MNY9E,",7415082000770,NAO,FAST BURGER COMERCIO DE ALIMENTOS SA,2054,SOCIEDADE ANONIMA FECHADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
"KD[&&AMA^)2H=-/*%_(!!'",15919816000190,SIM,MICHELE DE OLIVEIRA SANTOS MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,SIM
"A]+1PUL0,9=&K.K<O0U-%'",8731760000180,SIM,MARIA MERCEDES MARONA DIAZ ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,MEDIA,SIM,SIM,NAO
KFM.BJ5%5%=C-KH%*DW:`$,12586501000180,SIM,GRUPO DE ACAO EM RESPEITO A DIVERSIDADE SEXUAL GARDS,3999,ASSOCIACAO PRIVADA,ATIVA,PRIVADO,AMARELO,ALTA,SIM,NAO,NAO
"BB8J7F1""MGA?9WO_@6RHZ%",17004598000190,SIM,DB COMERCIO DE VESTUARIO LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,MEDIA,SIM,SIM,NAO
"A`]S95.2V*7,71TD?M'=1/",17020128000110,SIM,ROSA MARIA GOUVEA GESUALDI MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,BAIXA,SIM,SIM,SIM
D#6@MM)(EP<3X+1>$3@C`-,9206584000120,SIM,EDINALVA ALVES DE LIMA LANCHONETE ME,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
BNJ5)CUR7+*YR[726*B_3$,13991164000170,SIM,ANTHONYO LUAN JORGE DOS SANTOS BARRETO MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,BAIXA,SIM,SIM,SIM
B0?=H]!@8Y]CCGI?^`N0M%,15140876000100,SIM,HILDA LARANJEIRA DA SILVA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,MEDIA,SIM,SIM,SIM
ELJ>QG1V<A@0TDT7Y+H;S(,13990398000100,SIM,ADEGA CARVALHO LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,MEDIA,SIM,SIM,NAO
"H.T*D/MZ,4'A<?[E$U*LA,",591913000200,NAO,DUARTE VAZ PRESENTES FINOS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,NAO
"HK!&GP8F@:,B1D?F*1Y.U!",12101520000170,SIM,FRANCISCA MARIA ALVES DA COSTA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"FU80""&W-&##ECRJ<$S;B-/",15878231000170,SIM,ELEICAO 2012 LUAN POZZEBON DE OLIVEIRA VEREADOR,4090,CANDIDATO A CARGO POLITICO ELETIVO,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
P0^)5VQM:/`+@CK:A+MY8&,11523852000180,SIM,MARIA JACIRA BARROS DA SILVA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,MEDIA,SIM,NAO,NAO
"H`5B'E&IN!ZA[0Y>\5C8K$",11567637000180,SIM,NILSON RODRIGUES DE OLIVEIRA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,MEDIA,SIM,SIM,SIM
"H\VY-7!1#3J!\,`%E61V1""",13410438000190,SIM,MARIA ASSIONE DOS SANTOS ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,LARANJA,MEDIA,SIM,SIM,NAO
"EI76P(@""B-AE%E%X#\N""6(",11635464000190,SIM,HUGO LOPES DA SILVA SEGUNDO ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,MEDIA,SIM,NAO,NAO
PJB)K1Z8$CAY65/YHU0S5/,12807735000100,SIM,LUDMILA COSTA GAZZINELLI CRUZ MEI,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"MG6<UO[6E-$R,?`Y.+44&,",15348729000120,SIM,FRANCISCO DIAS DE SOUZA SUCATAS EPP,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,BAIXA,SIM,NAO,NAO
N_>^>L3SJ<Q`UD*\E5-G7!,10271384000130,SIM,FABRIMAR LOCACAO DE ROUPAS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
"B,IYQR9I9[K""('W\'40H?&",15353806000130,SIM,CONSTRUTONA CONSTRUTORA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,MEDIA,SIM,SIM,NAO
"FR6Z-B8""],@^&$QTQK+LS!",10962676000110,SIM,SANTA FARMA COMERCIO DE MEDICAMENTOS EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,ALTA,SIM,SIM,NAO
LG=\*8XS8@7L?&V=@`^Q</,7180710000190,SIM,CENTRO DE FORMACAO DE CONDUTORES MARQUINHOS INDAIA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
"M`L""V$K4Q%AVH9V&9?<(`+",10820195000170,SIM,ANDRE S REJANI OCULOS ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,MEDIA,SIM,NAO,NAO
"K3(INEF#-U&+O#&7$WJ1,)",7516811000270,NAO,ARTHUR ABIJAUDE FILHO ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
"JPQU&Q"",?,00=XR^=C;GS%",7905846000110,SIM,K C COMERCIO DE ROUPAS FEMININA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,ALTA,SIM,NAO,NAO
EI=YW+H-EO3X=H=%\Y][P$,7382808000120,SIM,BRAGAL MINERADORA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AMARELO,ALTA,SIM,NAO,NAO
"NS,WIK0(W*/Y';;JXGZ!1%",9390116000230,NAO,WILTER LINDOLM ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
"D`1M*;:]#(<@&JN92M]H""+",8058512000200,NAO,CARMINATTI & CARMINATTI LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,VERDE,INATIVA,SIM,NAO,NAO
B#I#BZ-CB5H!79+]++A=$%,8358423000190,SIM,ISMAEL MANOEL DOS SANTOS,4120,PRODUTOR RURAL PESSOA FISICA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"C,C/#$H&E+=S^F_Y(-?Q#$",8738400000100,SIM,ASSOCIACAO DOS BUGUEIROS DO MUNICIPIO DE TRAIRI,3999,ASSOCIACAO PRIVADA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"JCD!/S'/#`=9/>V$?1PZD!",13768040000120,SIM,VALDIR FRANZIM BERTOLOTTO MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,BAIXA,SIM,SIM,SIM
"C;""\Q;B+(5$8U9""F^3`+$""",35226349000120,SIM,NILSON COMERCIO DE MATERIAL DE CONSTRUCAO LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,LARANJA,INATIVA,SIM,NAO,NAO
"DQ4""LL<=L!][\DV'*A]$;&",14042875000160,SIM,NUTRI AGRO COMERCIO DE PRODUTOS AGRICOLAS EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,ALTA,SIM,NAO,NAO
"BX4,,7(.%L#0W*;;K2@Q+""",15968595000140,SIM,ELEICAO 2012 MAURO DELEVATTI VEREADOR,4090,CANDIDATO A CARGO POLITICO ELETIVO,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"H[FTLI4Q)_""K[<!#DM\QT!",13957827000130,SIM,ODETE LOPES MORAES MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"DC!3?64DY81=,C,`O?.NF)",14020202000100,SIM,ROSA M DA SILVA ESTETICA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,MEDIA,SIM,NAO,NAO
G.372%E&!C07X2.[)S<S%*,13974085000150,SIM,SUZI APARECIDA BISPO LIMA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"P-L*J=2LB0-@VW'JABTTH(",13889036000110,SIM,ASSOCIACAO ORNITOLOGICA DE OURO BRANCO,3999,ASSOCIACAO PRIVADA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"MGX9M+MU"")08+!(#5[#=A&",13383101000130,SIM,SILVIA FERNANDES PEREIRA BUFALO MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,SIM
"FT>$MT+*4RX.R=5E<_D5'!",15510215000120,SIM,MARIA WINE LUCAS COSTA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"LWGUVM&+=R.:""#;R:82*G""",11901907000490,NAO,COBRAS EMPREENDIMENTOS IMOBILIARIOS EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
"L+!738?X,XSGJKOE9;KRN&",15872811000150,SIM,LOURDIMAR MARQUES GARCEZ MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"L:<`H?J<Y""O_RN&>0W`4[$",15830117000170,SIM,KARYNE ANGELO DE BRIDA DA SILVA EPP,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,MEDIA,SIM,NAO,NAO
H)P=15I]`XL0DTG:S9Z_^/,1829315000290,NAO,MIRANDA COMERCIO E REPRESENTACOES DE PRODUTOS AGRICOLAS EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"I[JD`/&1?UR'?+PPL/M&,&",12303099000180,SIM,CASSIA LEMOS DESBESEL MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,MEDIA,SIM,SIM,SIM
M2Y5:V;7^S-&6)9O^])\I(,16849767000120,SIM,ADRIANO FRANCISCO MARQUES MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,BAIXA,SIM,SIM,SIM
"KDVB#^_1.!SMX0X7L8@,[+",11933515000160,SIM,INSTITUTO COOPERATIVO SAO FRANCISCO,3999,ASSOCIACAO PRIVADA,BAIXADA,PRIVADO,VERDE,INATIVA,SIM,NAO,NAO
"EZVY2""MUSFSRT3#`(/[3(/",12207871000160,SIM,MAURICIO SANTOS MUNIZ MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,BAIXA,SIM,SIM,SIM
"I3C!61B]W&V2*H)'($9#0$",16036160000120,SIM,ELEICAO 2012 PEDRO SOUZA LIMA VEREADOR,4090,CANDIDATO A CARGO POLITICO ELETIVO,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"F3-]""I9);A>L3`'*D""543.",16064332000170,SIM,ELEICAO 2012 CLEVER GARCIA REGIS VEREADOR,4090,CANDIDATO A CARGO POLITICO ELETIVO,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"LT""V9?&Y<Y_ZUP9ZIEC(-0",11580889000140,SIM,MANAOS TRANSPORTES E LOGISTICA LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,ALTA,SIM,NAO,NAO
OY9JHHZ\Y>H][U34GT%7:%,14709248000130,SIM,MARIA DO BONSUCESSO DIAS LANDIM MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,SIM
"NI]N)(ATB_4LE'<*[%ZN4(",7189633000210,NAO,ROBINSON DA SILVA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,MEDIA,SIM,NAO,NAO
"L'(/8)G?QZ0^6Y(``76<=#",23713142000100,SIM,JOSE ALVES PEREIRA MERCEARIA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"MT`63R@=1=?RMS.34H/7*""",8626072000150,SIM,ASSOCIACAO CULTURAL DE QUIPAPA ACQ,3999,ASSOCIACAO PRIVADA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"O?^WYDJ?8'=H^%LZS6]T2$",9243730000430,NAO,L R DA CRUZ ANDRADE COMERCIO ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,MEDIA,SIM,NAO,NAO
B30>R35:*59D_<<BI-A04*,7594860000140,SIM,S L PASCHOIM TRANSPORTES E COMERCIO DE SUCATAS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
"C`,JH87""V62DJ\7[!WQ?D#",1281145000170,SIM,CONDOMINIO EDIFICIO MASSAGUASSU RESIDENCE,3085,CONDOMINIO EDILICIO,ATIVA,PRIVADO,LARANJA,BAIXA,SIM,NAO,NAO
"PK:A#CC""2?265-+3USML,'",90781568000180,SIM,C P M DA ESCOLA JOAO XXIII,3999,ASSOCIACAO PRIVADA,ATIVA,PRIVADO,LARANJA,MEDIA,SIM,NAO,NAO
"JB,B%""-(V'^M2)[!0NCGB-",2909477000110,SIM,AGA PARTICIPACOES LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,ALTA,SIM,NAO,NAO
"BKFQY7O)^@6ZQ/C=*&[C,.",16416829000100,SIM,MAX AUTOMACAO COMERCIAL LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,MEDIA,SIM,SIM,NAO
K8IWBB[3I@H$G*NA_?YQL$,324601000400,NAO,MUCURIPE VEICULOS COMERCIO E SERVICOS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
"PJ+NG@""Y&=AQ9SE^3CJ0J,",11467359000190,SIM,CONSTRUTORA CONNAGE LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
"K&-`5V@,-9_<Y8976&2?E)",14195588000190,SIM,ANDERSON ANDRE MEGGIOLARO PRIEDOLS MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"PV\/QH.A;C`NW""1+@@3T%.",13076437000150,SIM,MARILENE MENDES CARREIRO DE OLIVEIRA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"IR_KTG'&2!*(((1?D_/,K0",8831742000170,SIM,DAMATA CONSULTORIA AMBIENTAL LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
"M,6&YA-H'OJC1\']1N:A@)",7692178000190,SIM,CONSTRUCOES CENTRO LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,MEDIA,SIM,NAO,NAO
"M%CNASW'"">%L=CRF+3<0J/",14867901000190,SIM,EDIFICIO ELICAR,3085,CONDOMINIO EDILICIO,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
MJV<60AV8J][I%\X.^&@9#,14331886000160,SIM,NIVIA MONTEIRO LIMA PEREIRA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"PG=SM""&T$0%?05GE,1GTH.",14505371000130,SIM,RAPHAEL DA SILVA SALES MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
G.#%L#BG94:`7CZLEY.X1&,14514238000140,SIM,PADARIA E LANCHONETE REGAZZI DO LINS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,VERDE,INATIVA,SIM,NAO,NAO
"ILQ:%>E\:'8^P_`;1#GU""0",14503187000150,SIM,JB DA CUNHA & LV DE SOUSA CUNHA REPRESENTACAO COMERCIAL LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,MEDIA,SIM,SIM,NAO
"OGQZ2Z).A""DE0FE%#3/;+!",14529553000140,SIM,VANESSA MENDES DE ARAUJO ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,MEDIA,SIM,SIM,NAO
"C7*':>)L0-\AP,N&8U5@&""",5474271000100,SIM,PEDRO PINHEIRO RESENDE ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,ALTA,SIM,SIM,NAO
"OI<%/DP=9\=7""@%DCJ<]_$",4833902000160,SIM,KOSHIBA & AMARAL LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,MEDIA,SIM,NAO,NAO
"E3:0DH1%%ZU,;4F$:!2?M#",8067581000190,SIM,SALATINI SERVICOS DE AGRONOMIA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,LARANJA,BAIXA,SIM,NAO,NAO
O@KVNO<Y+)X(-G7%&5O3A0,4811427000120,SIM,ASCENDINO DA SILVA ME,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,LARANJA,INATIVA,SIM,NAO,NAO
"HG'O:@F;0%TB<KM,#H@+P)",10722752000110,SIM,PAULO CESAR SILVA DA SILVA DISTRIBUIDORA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,BAIXA,SIM,SIM,NAO
L+B_JM!-<()6S]JC/;.G2%,97735377000120,SIM,COMUNIDADE EVANGELICA LUTERANA,3999,ASSOCIACAO PRIVADA,ATIVA,PRIVADO,AZUL,ALTA,SIM,NAO,NAO
J2X0>O/]R)KUGJX+X55&1&,15202287000100,SIM,FRANCISCO UAGILON LIMA DA SILVA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,MEDIA,SIM,NAO,NAO
"M?ET,D%<L4.5,J?>W8'A1%",16527512000140,SIM,MARCOS DAVID DE ALMEIDA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,SIM
"J[+?3@RXL%.AT'T)I-=@0""",3886097000250,NAO,SUPER MOVEIS COMERCIO DE ELETRODOMESTICOS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"E?'7&5I.3=^G%`[1O_40Z&",11556213000110,SIM,EDILBERTO DONIZETH BATISTA PEREIRA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,SIM
